basin,ncrmpRegion,region,subRegion,siteName,PRIMARY_SAMPLE_UNIT,YEAR,LAT_DEGREES,LON_DEGREES,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,perryDensity,density_ind_ha,deltaDensity,perryBiomass,biomass_kg_ha,deltaBiomass,bioerosion_kg_m2_yr1
atlantic,FLK,FLK,middle,inshore,1250,2016,24.65112,-81.14213,24.65112471,-81.14212341,24.65112471,-81.14212341,781.25,1172.316384,-391.066384,4.129337857,2.375368814,1.753969043,0
atlantic,FLK,FLK,middle,inshore,1251,2016,24.665905,-81.070675,24.6659054,-81.07067434,24.6659054,-81.07067434,539.8011364,918.1073446,-378.3062082,42.85091029,39.91458695,2.93632334,0.368539714
atlantic,FLK,FLK,middle,offshore,1285,2016,24.62694,-81.109135,24.62694073,-81.10913474,24.62694073,-81.10913474,1001.448864,1334.774011,-333.325147,137.7679293,149.2621768,-11.4942475,1.060117796
atlantic,FLK,FLK,middle,offshore,1285,2018,24.62593,-81.111445,24.62592795,-81.11145353,24.62592795,-81.11145353,1264.204545,1567.79661,-303.592065,986.8757296,1013.961656,-27.0859264,2.058678399
atlantic,FLK,FLK,middle,offshore,1286,2016,24.626165,-81.108065,24.6261719,-81.10806356,24.6261719,-81.10806356,816.7613636,1264.124294,-447.3629304,123.5410211,168.8797574,-45.3387363,0.695315646
atlantic,FLK,FLK,middle,offshore,1286,2018,24.62667,-81.1102,24.62666862,-81.11020829,24.62666862,-81.11020829,667.6136364,1129.943503,-462.3298666,225.9945864,261.6531962,-35.6586098,0.952346023
atlantic,FLK,FLK,middle,offshore,1327,2018,24.624405,-81.115445,24.62440408,-81.11544076,24.62440408,-81.11544076,497.1590909,805.0847458,-307.9256549,95.93876636,149.8294179,-53.89065154,0.27995289
atlantic,FLK,FLK,middle,offshore,1335,2016,24.62347,-81.108815,24.62346394,-81.10883832,24.62346394,-81.10883832,1742.357955,2989.576271,-1247.218316,39.70355766,58.01092667,-18.30736901,0.163654398
atlantic,FLK,FLK,middle,offshore,1336,2016,24.625325,-81.105345,24.6253241,-81.10534289,24.6253241,-81.10534289,1150.568182,2500,-1349.431818,61.58108872,71.76944322,-10.1883545,0.018655682
atlantic,FLK,FLK,middle,offshore,1339,2016,24.625325,-81.101735,24.62532504,-81.10173443,24.62532504,-81.10173443,912.6704545,1373.615819,-460.9453645,37.31958129,30.84386418,6.47571711,0.052891904
atlantic,FLK,FLK,middle,offshore,1344,2018,24.624515,-81.113855,24.62451473,-81.11385521,24.62451473,-81.11385521,142.0454545,155.3672316,-13.3217771,13.83817906,22.02699808,-8.18881902,0.00187288
atlantic,FLK,FLK,middle,offshore,1345,2018,24.6225,-81.11342,24.62249909,-81.11342,24.62249909,-81.11342,1150.568182,1680.79096,-530.222778,445.4862482,503.2129339,-57.7266857,0.813922873
atlantic,FLK,FLK,middle,offshore,1405,2022,24.62538,-81.11225,24.62538,-81.11225,24.62538,-81.11225,1107.954545,1949.152542,-841.197997,199.0374653,222.6178531,-23.5803878,0.525982524
atlantic,FLK,FLK,middle,offshore,1435,2022,24.62442,-81.11379,24.62442,-81.11379,24.62442,-81.11379,795.4545455,875.7062147,-80.2516692,82.51000201,73.7720765,8.73792551,0.015727326
